종목코드,현재가,등락률,20MA,거래량비율,RSI,60봉최다고가상승률
8075,2396,0.8,2467,157,40.2,5.72
8078,1568,-0.76,1625,131,40.67,4.61
8079,4240,0.36,4117,170,63.33,4.77
8081,2166,-0.55,2197,163,40.36,5.01
8084,3440,0.15,3442,225,47.92,3.98
8086,1579,1.77,1533,115,54.72,5.28
8088,2066,1.2,1925,101,66.04,8.97
8091,2570,0.98,2594,254,42.89,4.0
8093,1929,0.26,1975,195,42.25,6.93
8095,484,0.21,481,127,50.5,8.04
8097,2462,1.03,2362,107,68.8,8.06
8098,4070,0.74,4079,172,45.03,3.93
8103,826,0.24,840,326,33.16,4.59
8107,32,0.0,33,183,41.67,14.29
8111,2282,0.15,2341,148,41.09,3.8
8113,945,1.97,943,118,48.29,8.18
8117,1926,0.16,2032,87,28.57,5.58
8118,1159,1.67,1125,521,58.5,9.28
8125,1931,0.0,1950,120,44.97,3.3
8129,4886,1.54,4737,89,51.65,3.89
8130,3155,-0.16,3204,180,38.16,2.29
8131,2404,1.82,2267,206,77.52,4.75
8132,8000,4.03,7106,208,80.38,6.24
8133,2010,0.6,1999,116,50.59,3.33
8136,1060,1.98,1095,102,30.22,14.69
8137,3260,0.46,3252,408,47.68,7.17
8141,1225,3.38,1104,43,71.81,15.5
8142,1350,2.27,1312,217,53.89,7.51
8150,2938,0.38,3004,216,40.17,4.74
8151,1777,1.54,1784,139,47.54,4.83
8153,4300,-0.46,4229,179,59.79,2.51
8154,3895,0.13,3994,150,40.09,4.99
8158,1083,0.28,1116,343,37.94,4.93
8159,2963,0.44,3006,163,43.48,4.41
8160,2546,-0.9,2530,350,49.83,2.27
8163,1294,1.65,1257,302,79.45,2.26
8165,129,2.38,128,140,45.16,4.2
8166,78,-1.27,78,129,42.86,3.9
8167,1279,0.24,1274,161,48.26,4.12
8173,2921,1.0,2813,140,61.25,2.76
8174,3020,0.5,3048,212,45.98,3.09
8179,1470,1.17,1471,162,41.01,4.83
8185,1050,-0.28,1058,135,41.38,4.31
8194,2518,0.04,2529,106,51.17,11.8
8200,2282,0.75,2229,236,66.16,1.99
8203,767,1.72,761,128,50.0,3.83
8214,1681,0.24,1708,183,34.04,2.91
8217,822,-0.12,833,147,41.07,3.63
